,abdominal_pain,abnormal_menstruation,acidity,acute_liver_failure,altered_sensorium,anxiety,back_pain,belly_pain,blackheads,bladder_discomfort,blister,blood_in_sputum,bloody_stool,blurred_and_distorted_vision,breathlessness,brittle_nails,bruising,burning_micturition,chest_pain,chills,cold_hands_and_feets,coma,congestion,constipation,continuous_feel_of_urine,continuous_sneezing,cough,cramps,dark_urine,dehydration,depression,diarrhoea,dischromic _patches,distention_of_abdomen,dizziness,drying_and_tingling_lips,enlarged_thyroid,excessive_hunger,extra_marital_contacts,family_history,fast_heart_rate,fatigue,fluid_overload,foul_smell_of urine,headache,high_fever,hip_joint_pain,history_of_alcohol_consumption,increased_appetite,indigestion,inflammatory_nails,internal_itching,irregular_sugar_level,irritability,irritation_in_anus,itching,joint_pain,knee_pain,lack_of_concentration,lethargy,loss_of_appetite,loss_of_balance,loss_of_smell,malaise,mild_fever,mood_swings,movement_stiffness,mucoid_sputum,muscle_pain,muscle_wasting,muscle_weakness,nausea,neck_pain,nodal_skin_eruptions,obesity,pain_behind_the_eyes,pain_during_bowel_movements,pain_in_anal_region,painful_walking,palpitations,passage_of_gases,patches_in_throat,phlegm,polyuria,prominent_veins_on_calf,puffy_face_and_eyes,pus_filled_pimples,receiving_blood_transfusion,receiving_unsterile_injections,red_sore_around_nose,red_spots_over_body,redness_of_eyes,restlessness,runny_nose,rusty_sputum,scurring,shivering,silver_like_dusting,sinus_pressure,skin_peeling,skin_rash,slurred_speech,small_dents_in_nails,spinning_movements,spotting_ urination,stiff_neck,stomach_bleeding,stomach_pain,sunken_eyes,sweating,swelled_lymph_nodes,swelling_joints,swelling_of_stomach,swollen_blood_vessels,swollen_extremeties,swollen_legs,throat_irritation,toxic_look_(typhos),ulcers_on_tongue,unsteadiness,visual_disturbances,vomiting,watering_from_eyes,weakness_in_limbs,weakness_of_one_body_side,weight_gain,weight_loss,yellow_crust_ooze,yellow_urine,yellowing_of_eyes,yellowish_skin
abdominal_pain,0.0,0.02299604417717092,0.021225468742235944,0.07251754688004194,0.01076104460019052,0.01076104460019052,0.021814803617793282,0.05979833589972513,0.010187514188808706,0.01076104460019052,0.01076104460019052,0.01133538555943468,0.01076104460019052,0.0331777343748463,0.044244005081662784,0.01133538555943468,0.01076104460019052,0.02063698747547121,0.07063680171965281,0.005481248592462561,0.01076104460019052,0.07645428715749482,0.01133538555943468,0.01644885775096475,0.01076104460019052,0.021225468742235944,0.056261813783525884,0.01076104460019052,0.3579670782751619,0.010187514188808706,0.02240499459486703,0.02007234053646085,0.010187514188808706,0.05979833589972513,0.03257169446270234,0.01076104460019052,0.01133538555943468,0.04549241509699205,0.010187514188808706,0.021814803617793282,0.02240499459486703,0.016476093208784747,0.05979833589972513,0.009614792029661269,0.02504324710946501,0.0026075612593678354,0.01076104460019052,0.05979833589972513,0.01133538555943468,0.014406841636032432,0.01076104460019052,0.05979833589972513,0.01076104460019052,0.046744675447641076,0.01076104460019052,0.057337781931839575,0.059855177204608256,0.01076104460019052,0.01076104460019052,0.000428458298492734,0.19106979921900807,0.0331777343748463,0.01133538555943468,0.0023085200856460884,0.005203228224025459,0.021814803617793282,0.01076104460019052,0.01076104460019052,0.0005744720302035105,0.010187514188808706,0.02240499459486703,0.1065657930161313,0.021814803617793282,0.010187514188808706,0.021814803617793282,0.01133538555943468,0.01076104460019052,0.01076104460019052,0.021814803617793282,0.01133538555943468,0.05979833589972513,0.010187514188808706,0.03439253380872641,0.01133538555943468,0.01076104460019052,0.01076104460019052,0.010187514188808706,0.06359453770858225,0.06359453770858225,0.01076104460019052,0.02240499459486703,0.01133538555943468,0.021814803617793282,0.01133538555943468,0.01133538555943468,0.010187514188808706,0.010187514188808706,0.01076104460019052,0.01133538555943468,0.01076104460019052,0.08073833428899822,0.01133538555943468,0.01076104460019052,0.010187514188808706,0.010187514188808706,0.021814803617793282,0.07645428715749482,0.021225468742235944,0.010187514188808706,0.0686463318203986,0.03378467991502987,0.021814803617793282,0.05979833589972513,0.010187514188808706,0.01133538555943468,0.01076104460019052,0.01133538555943468,0.05979833589972513,0.010187514188808706,0.01076104460019052,0.01076104460019052,0.1756626844378406,0.010187514188808706,0.010187514188808706,0.010187514188808706,0.01076104460019052,0.000428458298492734,0.01076104460019052,0.05979833589972513,0.22408376368105232,0.44729389746186815
abnormal_menstruation,0.02299604417717092,0.0,0.011853968147472235,0.006017003888572372,0.006017003888572372,0.006017003888572372,0.012182271095844667,0.006017003888572372,0.005696686246460811,0.006017003888572372,0.006017003888572372,0.006337732111001954,0.006017003888572372,0.01429003834295389,0.015700863618769524,0.4148261720972169,0.006017003888572372,0.0115260953934921,0.018751989315677748,0.020012946703647574,0.39189541711839154,0.006337732111001954,0.006337732111001954,0.012182271095844667,0.006017003888572372,0.011853968147472235,0.017126947065287668,0.006017003888572372,0.01720109870757355,0.005696686246460811,0.24881347362584225,0.05963890973103846,0.005696686246460811,0.006017003888572372,0.1358986009040624,0.006017003888572372,0.4148261720972169,0.08305137990397891,0.005696686246460811,0.012182271095844667,0.2262034468694462,0.048523223083046275,0.006017003888572372,0.005376778134579309,0.024359221878347912,0.027603345983910347,0.006017003888572372,0.006017003888572372,0.006337732111001954,0.011853968147472235,0.006017003888572372,0.006017003888572372,0.006017003888572372,0.4042588561496059,0.006017003888572372,0.018530535003421923,0.018604335602099748,0.006017003888572372,0.006017003888572372,0.08481220044906651,0.024604822123268585,0.01429003834295389,0.006337732111001954,0.01882584849757016,0.014451441386365615,0.9128118590654549,0.006017003888572372,0.006017003888572372,0.01600473878615131,0.005696686246460811,0.24881347362584225,0.02452277624838551,0.012182271095844667,0.005696686246460811,0.012182271095844667,0.006337732111001954,0.006017003888572372,0.006017003888572372,0.012182271095844667,0.006337732111001954,0.006017003888572372,0.005696686246460811,0.014451441386365615,0.006337732111001954,0.006017003888572372,0.39189541711839154,0.005696686246460811,0.006337732111001954,0.006337732111001954,0.006017003888572372,0.012511005369241974,0.006337732111001954,0.23028970193545883,0.006337732111001954,0.006337732111001954,0.005696686246460811,0.005696686246460811,0.006017003888572372,0.006337732111001954,0.006017003888572372,0.01986382356535528,0.006337732111001954,0.006017003888572372,0.005696686246460811,0.005696686246460811,0.012182271095844667,0.006337732111001954,0.011853968147472235,0.005696686246460811,0.042923636627002576,0.014370922064246871,0.012182271095844667,0.006017003888572372,0.005696686246460811,0.4148261720972169,0.006017003888572372,0.006337732111001954,0.006017003888572372,0.005696686246460811,0.006017003888572372,0.006017003888572372,0.037147125883260676,0.005696686246460811,0.005696686246460811,0.005696686246460811,0.39189541711839154,0.08481220044906651,0.006017003888572372,0.006017003888572372,0.020237143129743895,0.021445614259178486
acidity,0.021225468742235944,0.011853968147472235,0.0,0.005887754514928908,0.005887754514928908,0.005887754514928908,0.011684868880895719,0.005887754514928908,0.005574324524022563,0.005887754514928908,0.005887754514928908,0.006201585461074321,0.005887754514928908,0.12717877038524783,0.014494245211424572,0.006201585461074321,0.005887754514928908,0.011278261107459159,0.034476975874024735,0.01847330133030571,0.005887754514928908,0.006201585461074321,0.006201585461074321,0.011684868880895719,0.005887754514928908,0.011599068767415063,0.0506931388256071,0.005887754514928908,0.015878722348415784,0.005574324524022563,0.21997931744410248,0.01581029493134286,0.005574324524022563,0.005887754514928908,0.013117171689669301,0.005887754514928908,0.006201585461074321,0.08029159334218446,0.005574324524022563,0.011684868880895719,0.0117698209976981,0.034612699227677624,0.005887754514928908,0.005261294464960948,0.013752684925594533,0.025475271248288675,0.005887754514928908,0.005887754514928908,0.006201585461074321,0.23699420758480416,0.005887754514928908,0.005887754514928908,0.005887754514928908,0.07708043698296173,0.005887754514928908,0.017105483883960652,0.017173582111991364,0.005887754514928908,0.005887754514928908,0.014564578679765182,0.022709528274804856,0.013192174482129025,0.006201585461074321,0.01737797766503004,0.013341140756893322,0.011684868880895719,0.005887754514928908,0.005887754514928908,0.01477468267659968,0.005574324524022563,0.0117698209976981,0.022633845872279148,0.011684868880895719,0.005574324524022563,0.011684868880895719,0.006201585461074321,0.005887754514928908,0.005887754514928908,0.011684868880895719,0.006201585461074321,0.005887754514928908,0.005574324524022563,0.013341140756893322,0.006201585461074321,0.005887754514928908,0.005887754514928908,0.005574324524022563,0.006201585461074321,0.006201585461074321,0.005887754514928908,0.0117698209976981,0.006201585461074321,0.011684868880895719,0.006201585461074321,0.006201585461074321,0.005574324524022563,0.005574324524022563,0.005887754514928908,0.006201585461074321,0.005887754514928908,0.01833571076014427,0.006201585461074321,0.005887754514928908,0.005574324524022563,0.005574324524022563,0.22822186409173348,0.006201585461074321,0.2133898273736967,0.005574324524022563,0.017105483883960652,0.013266825944005425,0.011684868880895719,0.005887754514928908,0.005574324524022563,0.006201585461074321,0.005887754514928908,0.006201585461074321,0.005887754514928908,0.31365429987983856,0.005887754514928908,0.3781030329281626,0.00027706875745662623,0.005574324524022563,0.005574324524022563,0.005574324524022563,0.005887754514928908,0.014564578679765182,0.005887754514928908,0.005887754514928908,0.018680157252353648,0.01979511627984264
acute_liver_failure,0.07251754688004194,0.006017003888572372,0.005887754514928908,0.0,0.004990874999126764,0.004990874999126764,0.005931261567849816,0.004990874999126764,0.004725224534214257,0.004990874999126764,0.004990874999126764,0.005049163704808938,0.004990874999126764,0.0066953730900996085,0.0073551233589275586,0.005049163704808938,0.004990874999126764,0.005843792785689177,0.008780732186788914,0.009369426622175077,0.004990874999126764,0.9182643655136847,0.005049163704808938,0.005931261567849816,0.004990874999126764,0.005887754514928908,0.008021651226160883,0.004990874999126764,0.12449639630512964,0.004725224534214257,0.005974337409400348,0.008021651226160883,0.004725224534214257,0.004990874999126764,0.006657360582637661,0.004990874999126764,0.005049163704808938,0.007426302314177547,0.004725224534214257,0.005931261567849816,0.005974337409400348,0.024936090353259267,0.004990874999126764,0.004459909095783744,0.01139647423568748,0.041420830062301364,0.004990874999126764,0.004990874999126764,0.005049163704808938,0.005887754514928908,0.004990874999126764,0.004990874999126764,0.004990874999126764,0.007497179772419683,0.004990874999126764,0.008677314863131462,0.09990239450947422,0.004990874999126764,0.004990874999126764,0.0073907522937036955,0.06349282542684033,0.0066953730900996085,0.005049163704808938,0.008815221910741265,0.006770868438943176,0.005931261567849816,0.004990874999126764,0.004990874999126764,0.007497179772419683,0.004725224534214257,0.005974337409400348,0.05219021994039706,0.005931261567849816,0.004725224534214257,0.005931261567849816,0.005049163704808938,0.004990874999126764,0.004990874999126764,0.005931261567849816,0.005049163704808938,0.004990874999126764,0.004725224534214257,0.006770868438943176,0.005049163704808938,0.004990874999126764,0.004990874999126764,0.004725224534214257,0.005049163704808938,0.005049163704808938,0.004990874999126764,0.005974337409400348,0.005049163704808938,0.005931261567849816,0.005049163704808938,0.005049163704808938,0.004725224534214257,0.004725224534214257,0.004990874999126764,0.005049163704808938,0.004990874999126764,0.0092998208535891,0.005049163704808938,0.004990874999126764,0.004725224534214257,0.004725224534214257,0.005931261567849816,0.9182643655136847,0.005887754514928908,0.004725224534214257,0.008677314863131462,0.006733206557868482,0.005931261567849816,0.004990874999126764,0.004725224534214257,0.005049163704808938,0.004990874999126764,0.005049163704808938,0.004990874999126764,0.004725224534214257,0.004990874999126764,0.004990874999126764,0.025302115311100104,0.004725224534214257,0.004725224534214257,0.004725224534214257,0.004990874999126764,0.0073907522937036955,0.004990874999126764,0.004990874999126764,0.09584592095242658,0.06998723284471359
altered_sensorium,0.01076104460019052,0.006017003888572372,0.005887754514928908,0.004990874999126764,0.0,0.004990874999126764,0.005931261567849816,0.004990874999126764,0.004725224534214257,0.004990874999126764,0.004990874999126764,0.005049163704808938,0.004990874999126764,0.0066953730900996085,0.0073551233589275586,0.005049163704808938,0.004990874999126764,0.005843792785689177,0.008780732186788914,0.009369426622175077,0.004990874999126764,0.005049163704808938,0.005049163704808938,0.005931261567849816,0.004990874999126764,0.005887754514928908,0.008021651226160883,0.004990874999126764,0.00805629864718661,0.004725224534214257,0.005974337409400348,0.008021651226160883,0.004725224534214257,0.004990874999126764,0.006657360582637661,0.004990874999126764,0.005049163704808938,0.007426302314177547,0.004725224534214257,0.005931261567849816,0.005974337409400348,0.01751301287479749,0.004990874999126764,0.004459909095783744,0.04438540326704155,0.012907476472309626,0.004990874999126764,0.004990874999126764,0.005049163704808938,0.005887754514928908,0.004990874999126764,0.004990874999126764,0.004990874999126764,0.007497179772419683,0.004990874999126764,0.008677314863131462,0.008711780079512675,0.004990874999126764,0.004990874999126764,0.0073907522937036955,0.011510925630936615,0.0066953730900996085,0.005049163704808938,0.008815221910741265,0.006770868438943176,0.005931261567849816,0.004990874999126764,0.004990874999126764,0.007497179772419683,0.004725224534214257,0.005974337409400348,0.011472692783195645,0.005931261567849816,0.004725224534214257,0.005931261567849816,0.005049163704808938,0.004990874999126764,0.004990874999126764,0.005931261567849816,0.005049163704808938,0.004990874999126764,0.004725224534214257,0.006770868438943176,0.005049163704808938,0.004990874999126764,0.004990874999126764,0.004725224534214257,0.005049163704808938,0.005049163704808938,0.004990874999126764,0.005974337409400348,0.005049163704808938,0.005931261567849816,0.005049163704808938,0.005049163704808938,0.004725224534214257,0.004725224534214257,0.004990874999126764,0.005049163704808938,0.004990874999126764,0.0092998208535891,0.005049163704808938,0.004990874999126764,0.004725224534214257,0.004725224534214257,0.005931261567849816,0.005049163704808938,0.005887754514928908,0.004725224534214257,0.008677314863131462,0.006733206557868482,0.005931261567849816,0.004990874999126764,0.004725224534214257,0.005049163704808938,0.004990874999126764,0.005049163704808938,0.004990874999126764,0.004725224534214257,0.004990874999126764,0.004990874999126764,0.01986318742143778,0.004725224534214257,0.004725224534214257,0.802376555520387,0.004990874999126764,0.0073907522937036955,0.004990874999126764,0.004990874999126764,0.009474066941028508,0.010037954954329282
anxiety,0.01076104460019052,0.006017003888572372,0.005887754514928908,0.004990874999126764,0.004990874999126764,0.0,0.005931261567849816,0.004990874999126764,0.004725224534214257,0.004990874999126764,0.004990874999126764,0.005049163704808938,0.004990874999126764,0.22771771581305078,0.0073551233589275586,0.005049163704808938,0.004990874999126764,0.005843792785689177,0.008780732186788914,0.009369426622175077,0.004990874999126764,0.005049163704808938,0.005049163704808938,0.005931261567849816,0.004990874999126764,0.005887754514928908,0.008021651226160883,0.004990874999126764,0.00805629864718661,0.004725224534214257,0.005974337409400348,0.008021651226160883,0.004725224534214257,0.004990874999126764,0.006657360582637661,0.8715224408387912,0.005049163704808938,0.18514440418267117,0.004725224534214257,0.005931261567849816,0.005974337409400348,0.024936090353259267,0.004990874999126764,0.004459909095783744,0.0529153444697167,0.012907476472309626,0.004990874999126764,0.004990874999126764,0.005049163704808938,0.005887754514928908,0.004990874999126764,0.004990874999126764,0.004990874999126764,0.17978679560523902,0.004990874999126764,0.008677314863131462,0.008711780079512675,0.004990874999126764,0.004990874999126764,0.0073907522937036955,0.011510925630936615,0.0066953730900996085,0.005049163704808938,0.008815221910741265,0.006770868438943176,0.005931261567849816,0.004990874999126764,0.004990874999126764,0.007497179772419683,0.004725224534214257,0.005974337409400348,0.05219021994039706,0.005931261567849816,0.004725224534214257,0.005931261567849816,0.005049163704808938,0.004990874999126764,0.004990874999126764,0.005931261567849816,0.9182643655136847,0.004990874999126764,0.004725224534214257,0.006770868438943176,0.005049163704808938,0.004990874999126764,0.004990874999126764,0.004725224534214257,0.005049163704808938,0.005049163704808938,0.004990874999126764,0.005974337409400348,0.005049163704808938,0.005931261567849816,0.005049163704808938,0.005049163704808938,0.004725224534214257,0.004725224534214257,0.004990874999126764,0.005049163704808938,0.004990874999126764,0.0092998208535891,0.9182643655136847,0.004990874999126764,0.004725224534214257,0.004725224534214257,0.005931261567849816,0.005049163704808938,0.005887754514928908,0.004725224534214257,0.1009788859395752,0.006733206557868482,0.005931261567849816,0.004990874999126764,0.004725224534214257,0.005049163704808938,0.004990874999126764,0.005049163704808938,0.004990874999126764,0.004725224534214257,0.004990874999126764,0.004990874999126764,0.025302115311100104,0.004725224534214257,0.004725224534214257,0.004725224534214257,0.004990874999126764,0.0073907522937036955,0.004990874999126764,0.004990874999126764,0.009474066941028508,0.010037954954329282
back_pain,0.021814803617793282,0.012182271095844667,0.011684868880895719,0.005931261567849816,0.005931261567849816,0.005931261567849816,0.0,0.005931261567849816,0.005615513164866162,0.005931261567849816,0.005931261567849816,0.006247414158816385,0.005931261567849816,0.01355764285740615,0.01489591007270019,0.006247414158816385,0.005931261567849816,0.011361683215015066,0.01778988024880434,0.03405944279003023,0.005931261567849816,0.006247414158816385,0.006247414158816385,0.012008478016554292,0.005931261567849816,0.011684868880895719,0.016248580083925355,0.005931261567849816,0.01631891252522686,0.005615513164866162,0.012095788142678303,0.016248580083925355,0.005615513164866162,0.005931261567849816,0.11388172560542764,0.005931261567849816,0.006247414158816385,0.015040331166214473,0.005615513164866162,0.012008478016554292,0.012095788142678303,0.0017124922208579469,0.005931261567849816,0.005300167917475721,0.018619417758880364,0.009204880193457972,0.005931261567849816,0.005931261567849816,0.006247414158816385,0.011684868880895719,0.005931261567849816,0.005931261567849816,0.005931261567849816,0.015184147996288198,0.005931261567849816,0.01757984336472201,0.045480576798648205,0.005931261567849816,0.005931261567849816,0.014968199737909988,0.01791919526057569,0.11085402644488497,0.006247414158816385,0.04338582332221147,0.013710748524884818,0.012008478016554292,0.005931261567849816,0.005931261567849816,0.08421046627385817,0.005615513164866162,0.012095788142678303,0.01814958434846938,0.20166790739460416,0.005615513164866162,0.012008478016554292,0.44034458753014266,0.005931261567849816,0.005931261567849816,0.012008478016554292,0.006247414158816385,0.005931261567849816,0.005615513164866162,0.013710748524884818,0.006247414158816385,0.005931261567849816,0.005931261567849816,0.005615513164866162,0.006247414158816385,0.006247414158816385,0.005931261567849816,0.23869570621871475,0.006247414158816385,0.012008478016554292,0.006247414158816385,0.006247414158816385,0.005615513164866162,0.005615513164866162,0.005931261567849816,0.006247414158816385,0.005931261567849816,0.03507913234645348,0.006247414158816385,0.005931261567849816,0.005615513164866162,0.005615513164866162,0.012008478016554292,0.006247414158816385,0.011684868880895719,0.005615513164866162,0.01757984336472201,0.013634368636831984,0.012008478016554292,0.005931261567849816,0.005615513164866162,0.006247414158816385,0.005931261567849816,0.006247414158816385,0.005931261567849816,0.005615513164866162,0.005931261567849816,0.005931261567849816,0.0018389057409660303,0.005615513164866162,0.30385959299194926,0.005615513164866162,0.005931261567849816,0.014968199737909988,0.005931261567849816,0.005931261567849816,0.019198421055984988,0.020344496729188963
belly_pain,0.05979833589972513,0.006017003888572372,0.005887754514928908,0.004990874999126764,0.004990874999126764,0.004990874999126764,0.005931261567849816,0.0,0.004725224534214257,0.004990874999126764,0.004990874999126764,0.005049163704808938,0.004990874999126764,0.0066953730900996085,0.0073551233589275586,0.005049163704808938,0.004990874999126764,0.005843792785689177,0.008780732186788914,0.09839114716525683,0.004990874999126764,0.005049163704808938,0.005049163704808938,0.3663922910719501,0.004990874999126764,0.005887754514928908,0.008021651226160883,0.004990874999126764,0.00805629864718661,0.004725224534214257,0.005974337409400348,0.12608438023414972,0.004725224534214257,0.004990874999126764,0.006657360582637661,0.004990874999126764,0.005049163704808938,0.007426302314177547,0.004725224534214257,0.005931261567849816,0.005974337409400348,0.03296722234571636,0.004990874999126764,0.004459909095783744,0.0529153444697167,0.051678414549667206,0.004990874999126764,0.004990874999126764,0.005049163704808938,0.005887754514928908,0.004990874999126764,0.004990874999126764,0.004990874999126764,0.007497179772419683,0.004990874999126764,0.008677314863131462,0.008711780079512675,0.004990874999126764,0.004990874999126764,0.0073907522937036955,0.011510925630936615,0.0066953730900996085,0.005049163704808938,0.008815221910741265,0.006770868438943176,0.005931261567849816,0.004990874999126764,0.004990874999126764,0.007497179772419683,0.004725224534214257,0.005974337409400348,0.05219021994039706,0.005931261567849816,0.004725224534214257,0.005931261567849816,0.005049163704808938,0.004990874999126764,0.004990874999126764,0.005931261567849816,0.005049163704808938,0.004990874999126764,0.004725224534214257,0.006770868438943176,0.005049163704808938,0.004990874999126764,0.004990874999126764,0.004725224534214257,0.005049163704808938,0.005049163704808938,0.004990874999126764,0.005974337409400348,0.005049163704808938,0.005931261567849816,0.005049163704808938,0.005049163704808938,0.004725224534214257,0.004725224534214257,0.004990874999126764,0.005049163704808938,0.004990874999126764,0.0092998208535891,0.005049163704808938,0.004990874999126764,0.004725224534214257,0.004725224534214257,0.005931261567849816,0.005049163704808938,0.005887754514928908,0.004725224534214257,0.008677314863131462,0.006733206557868482,0.005931261567849816,0.004990874999126764,0.004725224534214257,0.005049163704808938,0.004990874999126764,0.005049163704808938,0.8715224408387912,0.004725224534214257,0.004990874999126764,0.004990874999126764,0.025302115311100104,0.004725224534214257,0.004725224534214257,0.004725224534214257,0.004990874999126764,0.0073907522937036955,0.004990874999126764,0.004990874999126764,0.009474066941028508,0.010037954954329282
blackheads,0.010187514188808706,0.005696686246460811,0.005574324524022563,0.004725224534214257,0.004725224534214257,0.004725224534214257,0.005615513164866162,0.004725224534214257,0.0,0.004725224534214257,0.004725224534214257,0.004780408770126186,0.004725224534214257,0.006338896022457823,0.006963463831158415,0.004780408770126186,0.004725224534214257,0.00553270537156084,0.008312996528597075,0.00887025503939553,0.004725224534214257,0.004780408770126186,0.004780408770126186,0.005615513164866162,0.004725224534214257,0.005574324524022563,0.007594432098755491,0.004725224534214257,0.007627230630554086,0.0046685430318497995,0.005656293510258646,0.007594432098755491,0.0046685430318497995,0.004725224534214257,0.006302910136657,0.004725224534214257,0.004780408770126186,0.007030846107015353,0.0046685430318497995,0.005615513164866162,0.005656293510258646,0.016577824461195885,0.004725224534214257,0.004406411954052628,0.010788969082661809,0.012219129295722317,0.004725224534214257,0.004725224534214257,0.004780408770126186,0.005574324524022563,0.004725224534214257,0.004725224534214257,0.004725224534214257,0.007097942788495803,0.004725224534214257,0.008215100378238704,0.008247725630899138,0.004725224534214257,0.004725224534214257,0.006997192344128595,0.010897299652412425,0.006338896022457823,0.004780408770126186,0.008345644855443566,0.006410366216201087,0.005615513164866162,0.004725224534214257,0.004725224534214257,0.007097942788495803,0.0046685430318497995,0.005656293510258646,0.010861111533286139,0.005615513164866162,0.0046685430318497995,0.005615513164866162,0.004780408770126186,0.004725224534214257,0.004725224534214257,0.005615513164866162,0.004780408770126186,0.004725224534214257,0.0046685430318497995,0.006410366216201087,0.004780408770126186,0.004725224534214257,0.004725224534214257,0.765842480732559,0.004780408770126186,0.004780408770126186,0.004725224534214257,0.005656293510258646,0.004780408770126186,0.005615513164866162,0.004780408770126186,0.004780408770126186,0.765842480732559,0.0046685430318497995,0.004725224534214257,0.004780408770126186,0.004725224534214257,0.07897792548499545,0.004780408770126186,0.004725224534214257,0.0046685430318497995,0.0046685430318497995,0.005615513164866162,0.004780408770126186,0.005574324524022563,0.0046685430318497995,0.008215100378238704,0.006374712363566501,0.005615513164866162,0.004725224534214257,0.0046685430318497995,0.004780408770126186,0.004725224534214257,0.004780408770126186,0.004725224534214257,0.0046685430318497995,0.004725224534214257,0.004725224534214257,0.016417178300272908,0.0046685430318497995,0.0046685430318497995,0.0046685430318497995,0.004725224534214257,0.006997192344128595,0.004725224534214257,0.004725224534214257,0.008969306370816216,0.009503069858327322
bladder_discomfort,0.01076104460019052,0.006017003888572372,0.005887754514928908,0.004990874999126764,0.004990874999126764,0.004990874999126764,0.005931261567849816,0.004990874999126764,0.004725224534214257,0.0,0.004990874999126764,0.005049163704808938,0.004990874999126764,0.0066953730900996085,0.0073551233589275586,0.005049163704808938,0.004990874999126764,0.3484345576494893,0.008780732186788914,0.009369426622175077,0.004990874999126764,0.005049163704808938,0.005049163704808938,0.005931261567849816,0.8715224408387912,0.005887754514928908,0.008021651226160883,0.004990874999126764,0.00805629864718661,0.004725224534214257,0.005974337409400348,0.008021651226160883,0.004725224534214257,0.004990874999126764,0.006657360582637661,0.004990874999126764,0.005049163704808938,0.007426302314177547,0.004725224534214257,0.005931261567849816,0.005974337409400348,0.01751301287479749,0.004990874999126764,0.7390469818307438,0.01139647423568748,0.012907476472309626,0.004990874999126764,0.004990874999126764,0.005049163704808938,0.005887754514928908,0.004990874999126764,0.004990874999126764,0.004990874999126764,0.007497179772419683,0.004990874999126764,0.008677314863131462,0.008711780079512675,0.004990874999126764,0.004990874999126764,0.0073907522937036955,0.011510925630936615,0.0066953730900996085,0.005049163704808938,0.008815221910741265,0.006770868438943176,0.005931261567849816,0.004990874999126764,0.004990874999126764,0.007497179772419683,0.004725224534214257,0.005974337409400348,0.011472692783195645,0.005931261567849816,0.004725224534214257,0.005931261567849816,0.005049163704808938,0.004990874999126764,0.004990874999126764,0.005931261567849816,0.005049163704808938,0.004990874999126764,0.004725224534214257,0.006770868438943176,0.005049163704808938,0.004990874999126764,0.004990874999126764,0.004725224534214257,0.005049163704808938,0.005049163704808938,0.004990874999126764,0.005974337409400348,0.005049163704808938,0.005931261567849816,0.005049163704808938,0.005049163704808938,0.004725224534214257,0.004725224534214257,0.004990874999126764,0.005049163704808938,0.004990874999126764,0.0092998208535891,0.005049163704808938,0.004990874999126764,0.004725224534214257,0.004725224534214257,0.005931261567849816,0.005049163704808938,0.005887754514928908,0.004725224534214257,0.008677314863131462,0.006733206557868482,0.005931261567849816,0.004990874999126764,0.004725224534214257,0.005049163704808938,0.004990874999126764,0.005049163704808938,0.004990874999126764,0.004725224534214257,0.004990874999126764,0.004990874999126764,0.01734325723331982,0.004725224534214257,0.004725224534214257,0.004725224534214257,0.004990874999126764,0.0073907522937036955,0.004990874999126764,0.004990874999126764,0.009474066941028508,0.010037954954329282
